Leisure	['12947.916', '374.449', '8625.655', 583]
Wine	['135.000', '1.000', 0, 1]
Home Decor	['8585.083', '156.000', 0, 12]
Construction	['1554.498', '23.228', '66.957', 281]
Furniture	['89285.333', '1343.500', 0, 6]
Government Organization	['7953.162', '763.560', '7773.085', 284]
Elementary School	['276.000', '11.000', '2312.000', 1]
Law	['266.000', '8.021', '22.702', 47]
Sports	['2694.378', '121.628', '4658.215', 966]
Video Game	['1019.000', '78.000', 0, 1]
Local Business	['1689.434', '100.404', '4634.099', 10277]
Culture Website	['1585.400', '88.400', 0, 5]
Watches	['2485.690', '47.000', 0, 29]
Technology	['20829.484', '92.500', '277.633', 188]
Sporting Goods	['2810.951', '99.854', '246.537', 445]
Non-Governmental Organization (NGO)	['3933.118', '1156.447', '357.941', 85]
Beverages	['33142.681', '79.862', '2218.142', 1623]
Non-Profit Organization	['5556.339', '512.036', '1762.072', 360]
Insurance Company	['43086.192', '325.692', '221.692', 26]
Restaurant	['1871.136', '70.105', '3730.486', 14631]
Financial Services	['631.368', '35.579', '108.421', 19]
Museum	['8674.217', '312.959', '16099.024', 295]
Sports League	['1512.200', '57.200', 0, 5]
Cause	['10307.400', '679.300', 0, 10]
Sports Venue	['2218.377', '135.681', '8602.541', 207]
Business Services	['2093.739', '98.998', '497.165', 460]
Personal Website	['484.600', '10.000', 0, 5]
School	['1998.851', '86.790', '3274.355', 518]
Entertainment	['5036.913', '168.362', '7973.722', 1346]
Writer	['30557.000', '295.000', 0, 1]
Beauty	['1645.288', '89.997', '304.744', 4156]
Attractions	['4218.770', '182.184', '11949.241', 87]
Movie	['372076.333', '5293.333', 0, 3]
Biotechnology	['3067.550', '21.600', '131.400', 20]
Telecommunication	['985.991', '38.000', '156.748', 115]
Personal Blog	['2355.882', '61.647', 0, 17]
Tools	['215.571', '0.714', 0, 7]
Hotel	['2522.536', '120.709', '6714.629', 808]
Aerospace	['1684.000', '22.000', 0, 1]
Grocery	['7134.911', '35.224', '1036.534', 8154]
Doctor	['5386.140', '245.930', '557.907', 43]
Travel	['12947.916', '374.449', '8625.655', 583]
Shopping	['5549.659', '155.562', '6532.694', 3097]
Wellness Website	['183.500', '0.500', 0, 2]
Industrials	['117.100', '10.933', '125.133', 30]
